楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
2幢2单元,102室,118.9㎡,96.45㎡,81.12%,24651元/㎡,-,2931003.9元,可售
2幢2单元,1101室,89.01㎡,72.2㎡,81.11%,24547元/㎡,-,2184928.47元,可售
2幢2单元,201室,89.01㎡,72.2㎡,81.11%,22947元/㎡,-,2042512.47元,可售
2幢2单元,202室,118.94㎡,96.48㎡,81.12%,24192元/㎡,-,2877396.48元,可售
2幢2单元,301室,89.01㎡,72.2㎡,81.11%,23247元/㎡,-,2069215.47元,可售
2幢2单元,302室,118.94㎡,96.48㎡,81.12%,24492元/㎡,-,2913078.48元,可售
2幢2单元,401室,89.01㎡,72.2㎡,81.11%,23447元/㎡,-,2087017.47元,可售
2幢2单元,402室,118.94㎡,96.48㎡,81.12%,24692元/㎡,-,2936866.48元,可售
2幢2单元,501室,89.01㎡,72.2㎡,81.11%,23647元/㎡,-,2104819.47元,可售
2幢2单元,502室,118.94㎡,96.48㎡,81.12%,24892元/㎡,-,2960654.48元,可售
2幢2单元,601室,89.01㎡,72.2㎡,81.11%,23847元/㎡,-,2122621.47元,可售
2幢2单元,602室,118.94㎡,96.48㎡,81.12%,25092元/㎡,-,2984442.48元,可售
2幢2单元,701室,89.01㎡,72.2㎡,81.11%,24047元/㎡,-,2140423.47元,可售
2幢2单元,702室,118.94㎡,96.48㎡,81.12%,25292元/㎡,-,3008230.48元,可售
2幢2单元,801室,89.01㎡,72.2㎡,81.11%,24247元/㎡,-,2158225.47元,可售
2幢2单元,901室,89.01㎡,72.2㎡,81.11%,24447元/㎡,-,2176027.47元,可售
2幢2单元,902室,118.94㎡,96.48㎡,81.12%,25692元/㎡,-,3055806.48元,可售
6幢1单元,102室,112.85㎡,98.13㎡,86.96%,27520元/㎡,-,3105632元,可售
6幢1单元,201室,138.49㎡,120.42㎡,86.95%,27497元/㎡,-,3808059.53元,可售
6幢1单元,202室,125.61㎡,109.22㎡,86.95%,26721元/㎡,-,3356424.81元,可售
6幢1单元,301室,138.49㎡,120.42㎡,86.95%,27797元/㎡,-,3849606.53元,可售
6幢1单元,302室,125.61㎡,109.22㎡,86.95%,27021元/㎡,-,3394107.81元,可售
6幢1单元,401室,138.49㎡,120.42㎡,86.95%,28047元/㎡,-,3884229.03元,可售
6幢1单元,402室,125.61㎡,109.22㎡,86.95%,27271元/㎡,-,3425510.31元,可售
6幢1单元,501室,138.49㎡,120.42㎡,86.95%,28297元/㎡,-,3918851.53元,可售
6幢1单元,502室,125.61㎡,109.22㎡,86.95%,27521元/㎡,-,3456912.81元,可售
6幢1单元,601室,138.49㎡,120.42㎡,86.95%,28681元/㎡,-,3972031.69元,可售
6幢1单元,602室,125.61㎡,109.22㎡,86.95%,27900元/㎡,-,3504519元,可售
6幢1单元,701室,138.49㎡,120.42㎡,86.95%,28531元/㎡,-,3951258.19元,可售
6幢1单元,702室,125.61㎡,109.22㎡,86.95%,27750元/㎡,-,3485677.5元,可售
